kanji_strokes,How many strokes in the kanji for:,"Draw the figure in your mind, then type the number of strokes to help you remember:",,,,
parable,20,譬,",parable,ketchup,flag,mouth,spicy,stand up,vase,ten,needle,say,words,keitai,mouth,",,,
rumble,21,轟,",rumble,car,car3,",,,
reinforce,14,輔,",reinforce,car,dog-tag,arrowhead,screwdriver,utilise,utilise,",,,
spoke,16,輻,",spoke,car,wealth,one,ceiling,mouth,rice field,brains,",,,
assemble,16,輯,",assemble,car,headset,mouth,ear,",,,
panther,10,豹,",panther,skunk,badger,ladle,",,,
despicable,13,賎,",despicable,shellfish,clam,oyster,eye,animal legs,eight,float,",,,
get,12,貰,",get,generation,shellfish,clam,oyster,eye,animal legs,eight,",,,
bustling,14,賑,",bustling,shellfish,clam,oyster,eye,animal legs,eight,sign of the dragon,cliff,two,hairpin,safety-pin,",,,
expiate,nodata,贖,nodata,,,
stumble,22,躓,",stumble,wooden leg,mouth,stop,footprint,substance,axe,shellfish,clam,oyster,eye,animal legs,eight,axe2,",,,
hoof,16,蹄,",hoof,wooden leg,mouth,stop,footprint,sovereign,vase,stand up,apron,crown,towel,",,,
vestiges,18,蹟,",vestiges,wooden leg,mouth,stop,footprint,blame,grow up,shellfish,clam,oyster,eye,animal legs,eight,",,,
straddle,13,跨,",straddle,wooden leg,mouth,stop,footprint,Batman,large,St. Bernard,one,ceiling,snare,",,,
kneel,13,跪,",kneel,wooden leg,mouth,stop,footprint,dangerous,bound up,unlucky,cliff,fingerprint,",,,
soy sauce,17,醤,",soy sauce,leader,turtle,claw,vulture,glue,whiskey bottle,",,,
whey,16,醍,",whey,whiskey bottle,just so,sun,day,mend,",,,
ghee,16,醐,",ghee,whiskey bottle,uncivilised,zombie,old,tombstone,gravestone,church,ten,needle,mouth,moon,month,flesh,part of the body,",,,
strong sake,nodata,醇,nodata,,,
malt,15,麹,",malt,barley,grow up,walking legs,rice cooker,bound up,rice,",,,
button,11,釦,",button,metal,gold,mouth,",,,
keg,14,銚,",keg,metal,gold,portent,",,,
plow,14,鋤,",plow,metal,gold,help,shelf,my bookshelves,power,muscle,arnold,",,,
hand saw,nodata,鋸,nodata,,,
awl,16,錐,",awl,metal,gold,turkey,",,,
hoe,17,鍬,",hoe,metal,gold,autumn,wheat,cereal,fire,",,,
rivet,15,鋲,",rivet,metal,gold,soldier,hill,axe,one,floor,animal legs,eight,",,,
tin,16,錫,",tin,metal,gold,easy,sun,day,knot,",,,
anchor,16,錨,",anchor,metal,gold,seedlings,flowers,rice field,brains,",,,
nail,10,釘,",nail,metal,gold,street,nail,spike,",,,
javelin,21,鑓,",javelin,metal,gold,dispatch,purse,in,one,floor,maestro without baton,road,",,,
sword’s point,nodata,鋒,nodata,,,
hammer,17,鎚,",hammer,metal,gold,chase,maestro,road,",,,
carillion,13,鉦,",carillion,gong,metal,gold,correct,one,ceiling,stop,footprint,",,,
rust,16,錆,",rust,metal,gold,blue,grow up,moon,flesh,",,,
cluster,17,鍾,",cluster,metal,gold,heavy,thousand,ri,computer,",,,
scissors,15,鋏,",scissors,metal,gold,large,St. Bernard,assembly line,person,person2,",,,
flash,10,閃,",flash,gates,person,",,,
agony,12,悶,",agony,gates,heart,",,,
side gate,14,閤,",side gate,gates,fit,meeting,umbrella,one,mouth,",,,
trickle,11,雫,",trickle,rain,weather,below,",,,
haze,17,霞,",haze,rain,weather,hobby,staples,mouth,box,crotch,box2,",,,
quill,16,翰,",quill,mist,ten,needle,early,sun,day,umbrella,feathers,wings,ten2,needle2,",,,
auspices,14,斡,",auspices,mist,ten,needle,early,sun,day,umbrella,measuring cup,big dipper,The Plough,drop,ten,needle,ten2,needle2,",,,
saddle,15,鞍,",saddle,leather,flowers,car,mouth,ten,needle,relax,house,woman,",,,
whip,18,鞭,",whip,leather,flowers,car,mouth,ten,needle,convenience,person,grow late,Ameratasu,one,ceiling,sun,tucked under the arm,",,,
saddle straps,16,鞘,",saddle straps,leather,flowers,car,mouth,ten,needle,resemblance,spark,candle,small,little,moon,month,flesh,part of the body,",,,
briefcase,14,鞄,",briefcase,leather,flowers,car,mouth,ten,needle,wrap,bound up,snake,self,",,,
pliable,12,靭,",pliable,leather,flowers,car,mouth,ten,needle,blade,sword,dagger,drop,",,,
terminate,17,鞠,",terminate,leather,flowers,car,mouth,ten,needle,rice cooker,bound up,rice,",,,
overturn,19,顛,",overturn,true,truth,ten,needle,eye,tool,animal legs,eight,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,eye2,animal legs2,",,,
brush tip,16,穎,",brush tip,spoon,sitting on the ground,wheat,cereal,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",,,
exceedingly,14,頗,",exceedingly,pelt,branch,ten,needle,crotch,hook,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",,,
accolade,13,頌,",accolade,public,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",,,
neck and throat,14,頚,",neck and throat,spool,clod,toilet paper,crotch,soil,dirt,ground,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",,,
repast,16,餐,",repast,Merlin,magic wand,augury,evening,crotch,eat,food,umbrella,good,halo,drop,silver,",,,
feast,22,饗,",feast,home town,cocoon,silver,city walls,eat,food,umbrella,good,halo,drop,silver,",,,
eclipse,14,蝕,",eclipse,eat,food,umbrella,good,halo,drop,silver,insect,",,,
sweets,13,飴,",sweets,eat,food,umbrella,good,halo,drop,silver,pedestal,elbow,mouth,",,,
stretcher,15,駕,",stretcher,add,power,muscle,arnold,mouth,team of horses,",,,
piebald,19,騨,",piebald,team of horses,simple,owl,rice field,brains,ten,needle,",,,
rush,13,馳,",rush,team of horses,scorpion,",,,
cheat,19,騙,",cheat,team of horses,fish fingers,door,one,ceiling,flag,scrapbook,glass canopy,hood,flowers,",,,
tame,13,馴,",tame,team of horses,stream,flood,",,,
rebuttal,14,駁,",rebuttal,team of horses,sheaf,sheaf2,",,,
gallop,15,駈,",gallop,team of horses,hill,axe,one,floor,",,,
donkey,26,驢,",donkey,team of horses,tiger,rice field,brains,dish,",,,
eel,22,鰻,",eel,fish,bound up,rice field,brains,oven-fire,barbecue,mandala,sun,day,eye,cross-eyed,net,crotch,",,,
sea bream,19,鯛,",sea bream,fish,bound up,rice field,brains,oven-fire,barbecue,circumference,running track,glass hood,earthenware jar,lidded crock,soil,dirt,ground,mouth,",,,
sardine,21,鰯,",sardine,fish,bound up,rice field,brains,oven-fire,barbecue,weak,bow,ice,bow2,ice2,",,,
trout,23,鱒,",trout,fish,bound up,rice field,brains,oven-fire,barbecue,revered,Mother Teresa,chieftain,Molotov cocktail,animal horns,whiskey bottle,glue,",,,
salmon,17,鮭,",salmon,fish,bound up,rice field,brains,oven-fire,barbecue,ivy,square jewel,soil,dirt,ground,soil2,dirt2,ground2,",,,
tuna,17,鮪,",tuna,fish,bound up,rice field,brains,oven-fire,barbecue,possess,by one’s side,moon,month,flesh,part of the body,",,,
sweet smelt,16,鮎,",sweet smelt,fish,bound up,rice field,brains,oven-fire,barbecue,fortune-telling,magic wand,augury,mouth,",,,
horse mackerel,19,鯵,",horse mackerel,fish,bound up,rice field,brains,oven-fire,barbecue,nonplussed,visit,elbow,large,St. Bernard,shape,",,,
cod,22,鱈,",cod,fish,bound up,rice field,brains,oven-fire,barbecue,snow,rain,weather,broom,",,,
mackerel,19,鯖,",mackerel,fish,bound up,rice field,brains,oven-fire,barbecue,blue,grow up,moon,flesh,",,,
shark,17,鮫,",shark,fish,bound up,rice field,brains,oven-fire,barbecue,mingle,top hat,father,",,,
bonito,22,鰹,",bonito,fish,bound up,rice field,brains,oven-fire,barbecue,strict,loincloth,retainer,slave,crotch,soil,dirt,ground,",,,
bullhead,20,鰍,",bullhead,fish,bound up,rice field,brains,oven-fire,barbecue,autumn,wheat,cereal,fire,",,,
alligator,20,鰐,",alligator,fish,bound up,rice field,brains,oven-fire,barbecue,mousetrap,mouth,one,ceiling,snare,mouth2,",,,
crucian carp,nodata,鮒,nodata,,,
sushi,17,鮨,",sushi,fish,bound up,rice field,brains,oven-fire,barbecue,delicious,spoon,sitting on the ground,sun,day,",,,
fish fin,21,鰭,",fish fin,fish,bound up,rice field,brains,oven-fire,barbecue,old man,spoon,sitting on the ground,sun,day,",,,
seagull,14,鴎,",seagull,ward,box,sheaf,bird,",,,
roc,19,鵬,",roc,companion,moon,month,flesh,part of the body,bird,moon2,month2,flesh2,part of the body2,",,,
parakeet,28,鸚,",parakeet,suckling babe,suckling infant,shellfish,clam,oyster,eye,animal legs,eight,woman,bird,shellfish2,clam2,oyster2,eye2,animal legs2,",,,
parrot,19,鵡,",parrot,warrior,one,arrow,stop,footprint,bird,",,,
cormorant,18,鵜,",cormorant,younger brother,horns,dollar,stick,bird,",,,
heron,24,鷺,",heron,path,wooden leg,mouth,stop,footprint,each,walking legs,mouth,bird,mouth2,",,,
eagle,23,鷲,",eagle,concerning,capital,tall,top hat,mouth,small,little,understandably,chihuahua with one human leg,bird,",,,
wild duck,16,鴨,",wild duck,armour,armor,roots,bird,",,,
black kite,nodata,鳶,nodata,,,
owl,11,梟,",owl,bird minus tailfeathers,tree,wood,",,,
dust,14,塵,",dust,deer,cave,antlers,compare,soil,dirt,ground,spoon2,sitting on the ground2,",,,
giraffe,19,麒,",giraffe,deer,cave,antlers,compare,spoon,sitting on the ground,bushel basket,hamper,animal legs,eight,spoon2,sitting on the ground2,",,,
father-in-law,13,舅,",father-in-law,mortar,male,rice field,brains,power,muscle,arnold,",,,
mouse,13,鼠,",mouse,mortar,plough,drop,hook,tails,plough2,drop4,tail3,",,,
bore,28,鑿,",bore,upside down in a row,ten,needle,mortar,cruise missile,missile,wind,crotch,metal,gold,",,,
small craft,16,艘,",small craft,boat,motar,walking stick,crotch,",,,
close the eyes,15,瞑,",close the eyes,eye,Hades,crown,sun,day,six,",,,
murky,14,暝,",murky,sun,day,Hades,crown,sun,day,six,sun2,day2,",,,
sitting in meditation,nodata,坐,nodata,,,
first day of the month,10,朔,",first day of the month,mountain goat,horns,mountain,moon,month,flesh,part of the body,",,,
tow,nodata,曳,nodata,,,
dribble out,9,洩,",dribble out,water,water droplets,water pistol,drag,tow,sun,day,under one’s arm,",,,
comet,11,彗,",comet,bushes,broom with long handle,bushes2,broom*,",,,
astute,15,慧,",astute,comet,bushes,broom,heart,bushes2,",,,
let it be,14,爾,",let it be,noren,one,ceiling,eight,towel,stitching,patchwork quilt,",,,
applaud,14,嘉,",applaud,drum,samurai,beans,table,one,mouth,add,power,muscle,arnold,mouth,mouth2,",,,
evil,6,兇,",evil,villain,sheaf,shovel,human legs,",,,
helmet,11,兜,",helmet,white,dove,box,human legs,box2,",,,
mist,nodata,靄,nodata,,,
kalpa,7,劫,",kalpa,gone,soil,dirt,ground,elbow,power,muscle,arnold,",,,
bemoan,14,歎,",bemoan,scarecrow,flowers,mouth,husband,lack,yawn,",,,
palanquin,17,輿,",palanquin,entertain,car,staples,tool,",,,
warped,9,歪,",warped,negative,correct,one,ceiling,stop,footprint,",,,
jade green,14,翠,",jade green,feathers,wings,graduate,top hat,assembly line,person,ten,needle,person2,",,,
blue-black,16,黛,",blue-black,substitute,person,arrow,computer,oven-fire,barbecue,",,,
tripod,13,鼎,",tripod,eye,chair,T,chair2,T2,",,,
rocksalt,11,鹵,",rocksalt,magic wand,augury,ladybird,pent in,sheaf,drop,drop4,",,,
lye,19,鹸,",lye,rocksalt,magic wand,augury,ladybird,pent in,sheaf,drop,awl,fit,meeting,umbrella,mouth,person,drop4,",,,
reserved,10,虔,",reserved,tiger,sentence,plaid,kilt,Billy Connolly,",,,
swallow,16,燕,",swallow,twenty,north exit,spoon,sitting on the ground,mouth,oven-fire,barbecue,north*,",,,
lick,14,嘗,",lick,outhouse,small,little,crown,mouth,delicious,spoon,sitting on the ground,sun,day,",,,
almost,9,殆,",almost,bones,one,ceiling,evening,pedestal,elbow,mouth,",,,
mahjong tiles,12,牌,",mahjong tiles,one-sided,lowly,Wayne Slob,drop,rice field,brains,cornucopia,ten,needle,",,,
peek,12,覗,",peek,director,Ken Russel,clothes hanger,coat hanger,one,mouth,see,telescope,eye,human legs,",,,
disagree,nodata,齟,nodata,,,
discord,nodata,齬,nodata,,,
Manchu dynasty,10,秦,",Manchu dynasty,bonsai,wheat,cereal,",,,
sparrow,11,雀,",sparrow,few,turkey,",,,
peregrine falcon,10,隼,",peregrine falcon,turkey,ten,needle,",,,
shimmering,20,耀,",shimmering,ray,small,little,human legs,futon,feathers,wings,turkey,",,,
ebisu,6,夷,",ebisu,large,St. Bernard,bow,",,,
cyst,22,嚢,",cyst,bishop,cross,ten,needle,crown,mouth,animal legs,eight,celery,scarf,bishop*,",,,
carefree,14,暢,",carefree,monkey,sun,day,stick,piggy bank,sun,day,piglets,sun2,day2,",,,
circling,9,廻,",circling,-times,pent in,mouth,stretch,",,,
elation,8,欣,",elation,axe,lack,yawn,",,,
stalwart,15,毅,",stalwart,vase,stand up,sow,pig,cruise missile,missile,wind,crotch,",,,
this,12,斯,",this,bushel basket,hamper,animal legs,eight,axe,",,,
wooden spoon,11,匙,",wooden spoon,just so,sun,day,mend,spoon,sitting on the ground,",,,
set straight,6,匡,",set straight,box,king,jewel,ball,",,,
founding,14,肇,",founding,bouncer,door,one,ceiling,flag,taskmaster,brush,",,,
Utamaro,18,麿,",Utamaro,hemp,cave,grove,tree,wood,spine,mouth,drop,tree2,wood2,mouth2,",,,
conglomerate,18,叢,",conglomerate,upside down in a row,soil,dirt,ground,take,ear,crotch,",,,
entreat,8,肴,",entreat,snack,sheaf,possess,by one’s side,moon,month,flesh,part of the body,",,,
symmetrically patterned,12,斐,",symmetrically patterned,un-,jail cell,prison bars,sentence,plaid,kilt,Billy Connolly,",,,
magistrate,12,卿,",magistrate,sign of the hare,silver,",,,
fiddle with,15,翫,",fiddle with,learn,feathers,wings,white,dove,beginning,two,human legs,",,,
within,8,於,",within,compass,direction,umbrella,drop,drop2,",,,
hackneyed,10,套,",hackneyed,large,St. Bernard,hair,",,,
rebellion,9,叛,",rebellion,half,anti-,demonstration,cliff,crotch,half*,",,,
sharp point,6,尖,",sharp point,small,large,St. Bernard,",,,
crock,11,壷,",crock,jar,samurai,crown,Asia,Roman two,mouth,Asia*,",,,
sapience,16,叡,",sapience,magic wand,augury,crown,one,ceiling,valley,eight,umbrella,eye,crotch,valley*,",,,
chieftain,9,酋,",chieftain,Molotov cocktail,animal horns,whiskey bottle,",,,
nightingale,16,鴬,",nightingale,schoolhouse,owl,crown,bird,",,,
incandescent,14,赫,",incandescent,red,soil,dirt,ground,drop,red2,soil2,dirt2,ground2,drop4,",,,
supinate,9,臥,",supinate,retainer,slave,person,",,,
nephew,13,甥,",nephew,life,This is Your Life,cell,drop,grow up,male,rice field,brains,power,muscle,arnold,",,,
gourd,17,瓢,",gourd,ballot,old west,altar,show,two,small,melon,claw,vulture,elbow,",,,
biwa,12,琵,",biwa,king,jewel,ball,compare,spoon,sitting on the ground,king2,jewel2,ball2,spoon2,sitting on the ground2,",,,
lute,12,琶,",lute,king,jewel,ball,mosaic,king2,jewel2,ball2,",,,
forked,3,叉,",forked,tuning fork,crotch,drop,",,,
disobey,nodata,乖,nodata,,,
dry field,10,畠,",dry field,white,dove,rice field,brains,",,,
vegetable patch,10,圃,",vegetable patch,pent in,dog-tag,arrowhead,screwdriver,utilise,utilise,",,,
helping hand,6,丞,",helping hand,complete,water,one,floor,",,,
translucent,9,亮,",translucent,tall,top hat,mouth,paper punch,Miss World,crown,human legs,",,,
blood relative,9,胤,",blood relative,progeny,human legs,cocoon,moon,month,flesh,part of the body,",,,
transcription,12,疏,",transcription,children’s zoo,lifebelt,infant,toddler,top hat,elbow,stream,flood,",,,
ointment,14,膏,",ointment,tall,top hat,mouth,hood,mouth,moon,month,flesh,part of the body,mouth2,",,,
pioneer,14,魁,",pioneer,ghost,oni,drop,brains,rice field,human legs,elbow,measuring cup,big dipper,The Plough,drop,ten,needle,",,,
ambrosial,20,馨,",ambrosial,voice,samurai,flag,stick,cruise missile,missile,wind,crotch,incense,wheat,cereal,sun,day,",,,
label,13,牒,",label,one-sided,Tarzan,generation,tree,wood,",,,
glimpse,17,瞥,",glimpse,shredder,small,little,belt,taskmaster,eye,small2,little2,",,,
testicle,14,睾,",testicle,drop,eye,cross-eyed,net,happiness,ten,needle,stand up,vase,ten2,needle2,",,,
sorceress,7,巫,",sorceress,craft,assembly line,person,person2,",,,
empathetic,12,敦,",empathetic,receive,tall,top hat,mouth,child,children,taskmaster,",,,
Andromeda,9,奎,",Andromeda,large,St. Bernard,ivy,square jewel,soil,dirt,ground,soil2,dirt2,ground2,",,,
soar,12,翔,",soar,sheep,feathers,wings,sheep*,",,,
beaming,12,皓,",beaming,white,dove,revelation,cow,mouth,",,,
tenebrous,15,黎,",tenebrous,millet,wheat,cereal,slip-knot,reclining,lying down,sword,dagger,umbrella,grains of rice,",,,
bold,10,赳,",bold,run,soil,dirt,ground,mend,cornucopia,",,,
stop short,3,已,",stop short,sign of the snake with bit missing,",,,
thornbush,12,棘,",thornbush,tree,wood,belt,tree2,wood2,belt2,",,,
haunt,nodata,祟,nodata,,,
resuscitate,nodata,甦,nodata,,,
pruning,11,剪,",pruning,in front,horns,butcher,moon,month,flesh,part of the body,sword,sabre,saber,dagger,sword2,",,,
upbringing,16,躾,",upbringing,somebody,nose,beautiful,sheep,large,St. Bernard,",,,
plentiful,14,夥,",plentiful,fruit,rice field,brains,tree,wood,many,evening,evening2,",,,
snore,17,鼾,",snore,nose,drop,eye,rice field,brains,two hands,dry,clothesline,nose*,",,,
steeply inclined,nodata,陀,nodata,,,
kilometer,9,粁,",kilometer,rice,thousand,",,,
centimeter,15,糎,",centimeter,rice,cliff,computer,",,,
millimeter,10,粍,",millimeter,rice,fur,",,,
ton,16,噸,",ton,mouth,immediate,earthworm,drop,shovel,fishhook,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",,,
mile,10,哩,",mile,mouth,computer,",,,
nautical mile,10,浬,",nautical mile,water,water droplets,water pistol,computer,",,,
inch,6,吋,",inch,mouth,glue,",,,
foot,nodata,呎,nodata,,,
brahman,11,梵,",brahman,grove,tree,wood,mediocre,wind,drop,tree2,wood2,",,,
bodhisattva,16,薩,",bodhisattva,flowers,pinnacle,parthenon,acropolis,products,vase,stand up,cliff,life,This is Your Life,cell,drop,grow up,",,,
bo tree,11,菩,",bo tree,flowers,muzzle,vase,stand up,mouth,",,,
babble,10,唖,",babble,mouth,Asia,roman two,mouth,",,,
moo,6,牟,",moo,elbow,cow,",,,
Sanskrit ka,7,迦,",Sanskrit ka,add,power,muscle,arnold,mouth,road,",,,
jeweled hairpin,9,珈,",jeweled hairpin,king,jewel,ball,add,power,muscle,arnold,mouth,",,,
beaded hairpin,12,琲,",beaded hairpin,king,jewel,ball,un-,jail cell,prison bars,",,,
Japanese cypress (old),nodata,檜,nodata,,,
tinkling bell,nodata,轡,nodata,,,
abyss (old),nodata,淵,nodata,,,
V,6,伍,",V,person,five,five*,",,,
X,4,什,",X,person,ten,needle,ten*,",,,
ten thousand (old),nodata,萬,nodata,,,
pass through,15,邁,",pass through,ten thousand,flowers,talking cricket,brains,insect,belt,road,ten thousand*,road*,",,,
candlelight,17,燭,",candlelight,fire,spider,eye,cross-eyed,net,bound up,insect,",,,
tough,9,逞,",tough,display,mouth,king,jewel,ball,road,road*,",,,
lamp (old),nodata,燈,nodata,,,
back (old),nodata,裡,nodata,,,
park (alternate),nodata,薗,nodata,,,
shop (alternate),nodata,鋪,nodata,,,
island (alternate),nodata,嶋,nodata,,,
summit (alternate),nodata,峯,nodata,,,
plains (old),nodata,埜,nodata,,,
dragon (old),nodata,龍,nodata,,,
patronage,19,寵,",patronage,house,old dragon,vase,stand up,moon,month,flesh,part of the body,slingshot,catapult,snake,self,three,dragon*,",,,
deafness,22,聾,",deafness,old dragon,vase,stand up,moon,month,flesh,part of the body,slingshot,catapult,snake,self,three,ear,dragon*,",,,
longing (old),nodata,慾,nodata,,,
Point (old),nodata,嶽,nodata,,,
country (old),nodata,國,nodata,,,
shin,11,脛,",shin,moon,month,flesh,part of the body,shin,one,ceiling,stream,flood,craft,",,,
formidable,9,勁,",formidable,shin,one,ceiling,stream,flood,craft,power,muscle,arnold,",,,
enshrine,8,祀,",enshrine,altar,show,two,small,sign of the snake,altar*,small*,",,,
exorcism,10,祓,",exorcism,altar,show,two,small,chihuahua with extra leg,altar*,small*,",,,
dither,19,躇,",dither,wooden leg,mouth,stop,footprint,renowned,flowers,someone,puppet,sooty,old man,sun,day,drop,someone*,sooty*,",,,
longevity (old),nodata,壽,nodata,,,
hesitate,21,躊,",hesitate,wooden leg,mouth,stop,longevity,samurai,broken crown,craft,one,floor,mouth,glue,longevity*,",,,
bean jam,20,饅,",bean jam,old food,eat,umbrella,drop,silver,mandala,sun,day,eye,cross-eyed,net,crotch,food*,eat*,",,,
